current_line_locator,file,paper_source_was_modified,replacement_data_source,requires_carla_identity_gate,text_or_label_anchor,update_id
46--55,Jiaqi-Xie-Dissertation/main.tex,False,claims + model_seed_metrics,False,Abstract offline results,abstract_offline
118--121,Jiaqi-Xie-Dissertation/main.tex,False,CLAIM_CONSISTENCY_AUDIT,False,H1 statement,h1_statement
123--129,Jiaqi-Xie-Dissertation/main.tex,False,CARLA_DEPLOYMENT_DECISION,True,H2 transfer statement,h2_statement
134--142,Jiaqi-Xie-Dissertation/main.tex,False,claims + deployment gate,True,Contributions,contributions
195--200,Jiaqi-Xie-Dissertation/main.tex,False,mask audit + selection integrity,False,Calibration,calibration
256--271,Jiaqi-Xie-Dissertation/main.tex,False,valid-step metric contract,False,Prediction metrics,prediction_metrics
312--324,Jiaqi-Xie-Dissertation/main.tex,False,split/mask strata,False,Dataset,dataset
339--349,Jiaqi-Xie-Dissertation/main.tex,False,retain; clarify bug boundary,False,Training loss,training_formula
399--401,Jiaqi-Xie-Dissertation/main.tex,False,V4 training audit,False,Early stopping,early_stopping
661--682,Jiaqi-Xie-Dissertation/main.tex,False,FOUNDATION_MASK_SCOPE_AUDIT; retain full-horizon-only values,False,tab:foundation,foundation
617,Jiaqi-Xie-Dissertation/main.tex,False,corrected selection freeze,True,Selected P*,selected_model
685--694,Jiaqi-Xie-Dissertation/main.tex,False,controlled_effects,False,Capacity result,capacity
696--701,Jiaqi-Xie-Dissertation/main.tex,False,corrected CIA figure,False,fig:offline_landscape,fig_offline
703--714,Jiaqi-Xie-Dissertation/main.tex,False,controlled_effects,False,Information result,history
716--725,Jiaqi-Xie-Dissertation/main.tex,False,controlled_effects,False,Architecture result,architecture
727--743,Jiaqi-Xie-Dissertation/main.tex,False,table_offline_effects_v4,False,tab:offline_effects,tab_effects
746--820,Jiaqi-Xie-Dissertation/main.tex,False,deployment gate,True,fig:closed_factorial/tab:closed_cells,closed_loop
823--859,Jiaqi-Xie-Dissertation/main.tex,False,historical/corrected scope,True,fig:supervisor_authority,supervisor
874--903,Jiaqi-Xie-Dissertation/main.tex,False,all claims + deployment gate,True,Conclusion,conclusion
924--930,Jiaqi-Xie-Dissertation/main.tex,False,mask-aware ADE/FDE,False,Appendix metric formulae,appendix_metrics
968--995,Jiaqi-Xie-Dissertation/main.tex,False,model_seed_metrics,False,tab:appendix_offline,appendix_offline
997--1002,Jiaqi-Xie-Dissertation/main.tex,False,training_curve_audit,False,Checkpoint statement,checkpoint
1007--1029,Jiaqi-Xie-Dissertation/main.tex,False,mask integrity + deployment,True,Appendix audit,appendix_audit
