canonical_term,definition,symbol,code_evidence_mapping,avoid_as_synonym
MultiPath mixture predictor,A fixed-anchor Gaussian-mixture trajectory predictor.,"p(Y|X)=sum_k pi_k N(mu_k,Sigma_k)",multipath_output,MultiPath
B0,Pretrained MultiPath control stack without task adaptation.,B_0,predictor=B0,pretrained baseline
B1,MultiPath stack with the final prediction head adapted to the give-way task.,B_1,predictor=B1 or head-large,task-adapted reference
P*,Validation-frozen best V3 sequence model: large Transformer with 1.0 s history.,P^*,predictor=P_star; transformer-h1p0-large,selected sequence model
interaction history,Six-token explicit ego-target interaction sequence with a fixed valid-token mask.,H_t,history_horizon_s,history tokens
rollout-macro NLL,Trajectory mixture NLL averaged within rollout before aggregation.,NLL_macro,rollout_macro_nll,NLL
adaptive risk,Risk allocation recomputed from the interaction state within rollout.,alpha_t,risk_policy=adaptive,variable risk
fixed risk,A time-invariant declared risk allocation profile.,alpha,risk_policy=fixed_*,static risk
SMPC,Stochastic model predictive controller using multimodal predictions and chance-constraint tightening.,pi_SMPC,smpc_agent,controller
rule-based supervisor,"Seven-channel rule-aware layer that may shape references, bypass solving, change commands and manage recovery state.",S_theta,supervisor_behavioural_authority,supervisor
supervisor behavioural authority,Whether supervisor candidates are applied to the factual control path.,"A in {on,off}",yield_supervisor_behavioural_authority_mode,authority
nominal solver command,Command produced by the factual SMPC solve before post-solver rule arbitration.,u_nom,nominal_solver_command,nominal action
supervisor candidate command,Counterfactual command requested by the rule supervisor.,u_sup,supervisor_candidate_command,candidate action
executed command,Command placed on the factual control path after authority arbitration.,u_exec,actual_command,actual action
controller acceptance,"An attempted solver output accepted for execution, including accepted SUBOPTIMAL status.",A_ctrl,is_opt/controller_accepted,feasibility
fallback,Attempted solve whose output was not controller-accepted and used the declared fallback path.,F_ctrl,fallback_or_nonaccepted,solver failure
ego vehicle,Vehicle that turns left and must yield before entering the conflict zone.,E,role=ego,turning vehicle
target vehicle,Opposing priority vehicle proceeding straight through the intersection.,T,role=target,oncoming vehicle
minimum footprint separation,Minimum separation between oriented CARLA vehicle bounding boxes.,d_min,min_footprint_separation_m,safety margin
initialisation group,One paired scenario initialisation used as the independent analysis cluster.,g,ego_init_id,seed
