schema_version,claim_id,hypothesis,intended_sentence,identification_level,population_ids,source_locators,evidence_gap,boundary
supervisor_masking_claim_evidence_matrix_v2,H1_PHYSICAL_EFFECTIVENESS,H1,"Complete supervisor authority achieved nominal yielding and completion in all tested authority-on SF4 rollouts, whereas the monitor-only arm was failure-saturated.",tested-sample_authority_effect,"[""SF4_authority""]","[{""locator"": ""/outcomes"", ""path"": ""docs/paper/generated/distinction_sf4_supervisor_authority_ablation/results/analysis/sf4_inference.json"", ""sha256"": ""86582d320389a39a52c38038bdf90161744f2a10ce19562db96a6cf8665321f4""}, {""locator"": ""authority-on/off rows"", ""path"": ""docs/paper/generated/distinction_sf4_supervisor_authority_ablation/results/analysis/sf4_rollout_outcomes.csv"", ""sha256"": ""dbc226aedd9ba6ab17650f61187d4322b40cf0fc4a4d7e4f54068325855ae603""}]",,Observed nominal outcome in one geometry; not a formal or general safety guarantee.
supervisor_masking_claim_evidence_matrix_v2,H1_INTERVENTION_MECHANISM,H1,"The authority effect is accompanied by requests, actual command replacement and distinct bypass/solver paths rather than inferred from trajectories alone.",mechanism_accounting,"[""SF4_authority""]","[{""locator"": ""/"", ""path"": ""docs/paper/generated/supervisor_bottleneck_v1/telemetry_audit/TELEMETRY_AUDIT_COMPLETE.json"", ""sha256"": ""e4192e6b468df4b4b4b49483f58170fe04110600d32d638eb290be02eb9569eb""}, {""locator"": ""/"", ""path"": ""docs/paper/generated/supervisor_bottleneck_v1/telemetry_audit/solver_path_reconciliation.json"", ""sha256"": ""b447eb08398fa806390567fec6694274de92cbc05523bbfaf1d6e90a32be87d5""}]",,Seven channels were toggled together; channel-specific effects are not identified.
supervisor_masking_claim_evidence_matrix_v2,H2_CAPACITY,H2.Capacity,Increasing Transformer capacity does not produce a coherent monotonic held-out prediction gain under the frozen V3 protocol.,retained_upstream_difference,"[""V3_CIA_offline""]","[{""locator"": ""H1_capacity rows"", ""path"": ""docs/paper/generated/capacity_history_v3/final/table_three_axis_contrasts.csv"", ""sha256"": ""a4ee8b0492a33c6eb6e55a110d0e8bd901461ab108667a884b04c3416023ef8c""}]",,No capacity tier was separately crossed with supervisor authority.
supervisor_masking_claim_evidence_matrix_v2,H2_INFORMATION,H2.Information,"Short interaction history provides a small, rapidly saturating upstream prediction gain in both matched encoder families.",retained_upstream_difference,"[""V3_CIA_offline""]","[{""locator"": ""H2_information rows"", ""path"": ""docs/paper/generated/capacity_history_v3/final/table_three_axis_contrasts.csv"", ""sha256"": ""a4ee8b0492a33c6eb6e55a110d0e8bd901461ab108667a884b04c3416023ef8c""}, {""locator"": ""history_horizon_s cells"", ""path"": ""docs/paper/generated/capacity_history_v3/final/table_offline_model_cells.csv"", ""sha256"": ""27d64149084138ac61aa5e4cfcfa845690373782961217860a1c9c1b5c562379""}]",,Input value does not establish attention-specific understanding.
supervisor_masking_claim_evidence_matrix_v2,H2_ARCHITECTURE,H2.Architecture,"The direct MLP--Transformer gap is distinct from the history-gain interaction, which does not support attention-specific extraction.",retained_upstream_difference,"[""V3_CIA_offline""]","[{""locator"": ""architecture_direct and H3_attention rows"", ""path"": ""docs/paper/generated/capacity_history_v3/final/table_three_axis_contrasts.csv"", ""sha256"": ""a4ee8b0492a33c6eb6e55a110d0e8bd901461ab108667a884b04c3416023ef8c""}]",,"Bounded to tested architectures, capacity matching and optimisation budget."
supervisor_masking_claim_evidence_matrix_v2,H2_PHYSICAL_TRANSFER,H2,The selected predictor remains distinguishable in-loop but does not show a uniform co-primary physical advantage under the shared supervised stack.,no_detected_physical_transfer,"[""V3_selected_model_closed_loop""]","[{""locator"": ""P_star_minus_B1 rows"", ""path"": ""docs/paper/generated/capacity_history_v3/final/table_model_by_risk_contrasts.csv"", ""sha256"": ""c38a28bc3d1d2055b7959a66bedaa62c29ed90a98116905019aa39608508e938""}, {""locator"": ""deployed predictor cells"", ""path"": ""docs/paper/generated/capacity_history_v3/final/table_closed_loop_cells.csv"", ""sha256"": ""b258139e4f95c73368df9abe795a29fc3225b59194c537fbdf9c6ecfd468248b""}]",,Shared-supervisor physical non-transfer does not identify supervisor-specific masking.
supervisor_masking_claim_evidence_matrix_v2,H2_SUPERVISOR_MASKING,H2,Whether the supervisor causally attenuates predictor-policy command separation remains subject to the identification gate.,not_transferred_or_not_identified,"[""V3_selected_model_closed_loop"", ""SF4_authority""]",[],"{""missing_estimand"": ""aligned same-state B1/P* candidate-to-executed command contrast under enabled and monitor-only complete supervisor mappings"", ""reason"": ""V3 shares authority-on operation and SF4 varies authority only for B1; the SF4 off arm is floor-saturated.""}",Use consistent_with_masking at most until the gate licenses a stronger term.
supervisor_masking_claim_evidence_matrix_v2,H3_RISK_FRONTIER,H3,Adaptive risk is context-dependent and does not uniformly dominate the full fixed-risk frontier.,retained_upstream_or_policy_difference,"[""R3_predictor_risk""]","[{""locator"": ""all declared fixed comparators"", ""path"": ""docs/paper/generated/distinction_v1/08_corrected_closed_loop/r3_final/synthesis/table_r3_h4_dominance.csv"", ""sha256"": ""3aa0960d32509e10c5ceaba23ec3ee198c71424cd1b6cac1e11869eddafa8e03""}]",,All fixed comparators and target contexts must remain visible.
supervisor_masking_claim_evidence_matrix_v2,H3_CROSS_LAYER_TRANSFER,H3,The risk-to-action audit must locate any contraction at the constraint-to-SMPC layer before assigning additional attenuation to rule-level authority.,pending_constraint_to_candidate_audit,"[""R3_predictor_risk"", ""legacy_timing_shift""]",[],"{""missing_estimand"": ""provenance-bound risk/tightening-to-nominal-command contrast across declared fixed/adaptive policies"", ""reason"": ""The compact local release contains outcome and solver summaries but the server telemetry inventory is still pending.""}","Historical timing and R3 results are juxtaposed, never pooled."
supervisor_masking_claim_evidence_matrix_v2,H3_SUPERVISOR_MASKING,H3,Whether the supervisor adds causal attenuation beyond SMPC controller compression remains subject to the identification gate.,consistent_with_masking,"[""R3_predictor_risk"", ""SF4_authority""]",[],"{""missing_estimand"": ""same-state fixed/adaptive candidate-to-executed contrast or a non-saturated risk-by-authority interaction"", ""reason"": ""SF4 authority-off outcomes are floor-saturated and factual rollouts do not align alternative risk commands at identical states.""}",Do not assign all physical similarity uniquely to the supervisor.
