id,layer,manuscript_formula,plain_language,paper_basis,implementation,status,code
F01_multipath_mixture,predictor,p(Y|X)=sum_{j=1}^J pi_j(X) p_j(Y|X),MultiPath assigns a probability to each anchor-defined future and predicts a continuous Gaussian correction around every anchor.,The primary paper models target predictions as multimodal Gaussian/LTV modes in Eq. (5) and uses MultiPath in its CARLA studies (Sec. IV-B).,"The online interface supplies a target-centred raster and past state history; four-input variants additionally receive an aligned six-token ego-target interaction sequence and mask. The decoder splits the output into J logits and JxT trajectory parameters, applies softmax to logits, and adds residual means to fixed anchors.",implemented_extension_of_paper_input_model,"core/scripts/carla/scenarios/run_intersection_scenario.py:1806-1844 (raster, past state and optional interaction sequence construction); core/scripts/models/deploy_multipath_model.py:143-149 (online predictor input interface); core/scripts/models/multipath_gmm_utils.py:53-96 (decode_multipath_raw; probabilities=softmax_logits; means=residual+anchor)"
F02_per_time_covariance,predictor,"Sigma_{j,t}=R(theta_{j,t}) diag(sigma^2_{j,t,1},sigma^2_{j,t,2}) R(theta_{j,t})^T",Every mode and future instant has its own rotated 2-by-2 position covariance. The model does not predict covariance between different future instants.,Eq. (5) supplies Gaussian process noise per mode and time; the exact MultiPath output parameterisation is an implementation detail.,"Raw width is J*T*5+J; each [mode,time] emits dx,dy,two log-scale values and one rotation, producing shape [...,J,T,2,2]. No cross-time covariance tensor is constructed.",implemented_no_cross_time_covariance,core/scripts/models/multipath_gmm_utils.py:62-68 (raw layout); core/scripts/models/multipath_gmm_utils.py:91-114 (2x2 covariance construction)
F03_training_objective,predictor,"L_train=-log pi_{j*}+(1/|V|) sum_{t in V}[-log N(y_t;mu_{j*,t},Sigma_{j*,t})]+const,  j*=argmin_j ADE(anchor_j,y)","Training first assigns each example to its nearest anchor, then learns that anchor's probability and Gaussian residual. This is a hard-assignment training loss, not the all-mode mixture likelihood used for testing.",MultiPath [8] is the paper's predictor; this project's fine-tuning loss is repository-specific.,Nearest anchor is selected over valid labels; cross-entropy and selected-mode Gaussian NLL are averaged over valid time steps.,implemented_hard_assignment_train_nll,core/scripts/models/interaction_adapter_v2.py:313-350 (masked_multipath_loss)
F04_heldout_mixture_nll,predictor,"NLL_test=-(1/T) log sum_j pi_j prod_t N(y_t;mu_{j,t},Sigma_{j,t})",Held-out scoring rewards a model only when its complete probability-weighted mixture explains the entire future trajectory.,Consistent with the multimodal distribution assumed in Eq. (5); the rollout-macro evaluation is repository-specific.,"Per-mode log densities are summed across time, combined once with log mode probabilities by log-sum-exp, then divided by horizon. This differs deliberately from training's nearest-anchor loss.",implemented_all_mode_heldout_nll,core/scripts/models/evaluate_multipath_model_on_dataset.py:469-505 (trajectory mixture log likelihood)
F05_target_ltv_gaussian,smpc,"o_{k+1|t,j}=T_{k|t,j}o_{k|t,j}+c_{k|t,j}+n_{k|t,j},  n_{k|t,j}~N(0,Sigma_{k|t,j})","For each predicted manoeuvre, target motion is represented as a time-varying linear Gaussian process that the controller can propagate.",Primary paper Eq. (5).,"The optimiser holds per-target, per-mode, per-step T, c and 2-by-2 covariance-square-root parameters.",paper_equivalent_representation,"core/scripts/carla/utils/mpc_utils.py:586-595 (T_tv, c_tv, Sigma_tv_sqrt parameters)"
F06_policy_parameterization,smpc,"Delta u_{k|t,j}=h^j_{k|t}+sum_{l=0}^{k-1} M^j_{l,k|t} w_{l|t}+K^j_{k|t}(o_{k|t,j}-mu_{k|t,j})","h is the nominal branch command, M reacts to ego-model disturbance, and K reacts to deviation of the target from its predicted mean.","Primary paper Eq. (11), stacked in Eqs. (21)-(23).","CasADi variables are built and returned as [h,M,K], with branch sharing before the prediction tree splits.",paper_equivalent_variables,"core/scripts/carla/utils/mpc_utils.py:661-678 (_return_policy_class creates M,K,h); core/scripts/carla/utils/mpc_utils.py:823-823 ([h,M,K]=self.policy[i])"
F07_chance_constraint_semantics,smpc,"P(c_{k,j}(x,o)>=0)>=beta_j, where c>=0 means safe",The sign convention is defined generically: a non-negative safety margin means collision-free. The code's second-order-cone form is an inner approximation of this event.,"Primary paper Eqs. (6d), (12)-(15): the safe event is written with a greater-than-or-equal sign.","The collision linearisation creates SOC vectors z,y and imposes ca.soc(z,y)>0. Manuscript exposition must not reverse the safe-margin sign.",implemented_with_generic_safe_margin_sign,core/scripts/carla/utils/mpc_utils.py:875-893 (collision affine/SOC constraint)
F08_active_branch_objective,smpc,"min_{h,M,K,beta} sum_{j in J_active} pi_j J_j + J_shared","After the policy tree branches, every complete joint MultiPath mode weights its own tracking and control cost by its normalized probability. Before branching there is one shared policy and its cost has unit weight.",The source formulation minimizes probability-weighted expected branch cost in Eqs. (6a) and (19).,The branch loop collects every branch_cost and the production helper forms their self.probs-weighted expectation. A single unbranched policy uses weight one; shared slack and corridor penalties are added once outside the branch expectation. Old unweighted runtime identifiers are rejected.,paper_equivalent_probability_weighted_expected_cost,core/scripts/carla/utils/mode_probability_contract.py:14-21 (objective semantic identifier and contract hash); core/scripts/carla/utils/mpc_utils.py:872-880 (shared penalty initialization); core/scripts/carla/utils/mpc_utils.py:906-913 (complete active-branch invariant); core/scripts/carla/utils/mpc_utils.py:1048-1077 (production expected-cost helper receives all active branch costs and probabilities)
F09_adaptive_risk_budget,risk,"sum_j pi_j beta_j >= beta_req,  r_j approximately Phi^{-1}(beta_j)",Mode probabilities influence how the allowed collision risk is distributed: likely modes carry more weight in the total probability-of-safety budget.,"Primary paper Eqs. (15a), (16)-(18), with eta_j=Phi^{-1}(r_j) and a probability-weighted safety budget.",mmrisk_std is the tightening variable r-like/eta-like scalar; mmrisk_prob approximates beta through affine inverse-CDF constraints. The same normalized self.probs vector used by the objective weights the total adaptive-risk constraint.,paper_inspired_piecewise_linear_risk_allocation,core/scripts/carla/utils/mpc_utils.py:836-917 (mmrisk_std/mmrisk_prob and probability-weighted total_prob); core/scripts/carla/utils/mpc_utils.py:1078-1079 (adaptive-risk satisfaction budget)
F10_receding_horizon_command,smpc,"u_t=pi_SMPC(x_t,o_t)=u^*_{t|t,1}","The optimiser plans all branches but applies only the first command, then resolves after receiving the next state and prediction.",Primary paper Eq. (7).,The first two entries of the root h policy are extracted as u_control.,paper_equivalent_receding_horizon_action,core/scripts/carla/utils/mpc_utils.py:1088-1089 (root first action extraction)
