schema_version,term_id,canonical_term,definition,symbol,measurement_layer,code_or_evidence_locator,do_not_conflate_with
supervisor_masking_terminology_ledger_v2,multipath_predictor,MultiPath,A fixed-anchor multimodal trajectory predictor that emits mode probabilities and per-mode future Gaussian states.,p(Y|X)=sum_k pi_k p_k(Y|X),upstream_prediction,core/scripts/models/deploy_multipath_model.py,a deterministic single-trajectory regressor
supervisor_masking_terminology_ledger_v2,multimodal_smpc,multimodal SMPC,A receding-horizon stochastic controller that consumes multimodal target predictions and applies chance-constraint tightening.,"u_nom=pi_SMPC(x,Y_hat,delta)",candidate_control,core/scripts/carla/utils/mpc_utils.py,the post-solver rule-based supervisor
supervisor_masking_terminology_ledger_v2,fixed_risk_allocation,fixed risk allocation,A declared time-invariant risk/tightening policy used by the stochastic collision constraints.,delta_t=delta_fixed,risk_constraint,core/scripts/carla/policies/smpc_agent.py,constant physical clearance
supervisor_masking_terminology_ledger_v2,adaptive_risk_allocation,adaptive risk allocation,An interaction-state-dependent allocation that changes per-mode target probability or tightening within a rollout.,"delta_t=rho(x_t,Y_hat_t)",risk_constraint,core/scripts/carla/policies/smpc_agent.py,the supervisor brake rule
supervisor_masking_terminology_ledger_v2,controller_candidate_command,candidate command,The nominal first SMPC command before post-solver supervisor arbitration.,u_nom,candidate_control,core/scripts/carla/policies/supervisor_action_filter.py,the rule-proposed supervisor candidate
supervisor_masking_terminology_ledger_v2,supervisor_candidate_command,supervisor candidate command,A rule-proposed replacement command computed whether or not behavioural authority permits application.,u_sup,supervisor_intervention,core/scripts/carla/policies/supervisor_action_filter.py,the nominal solver command or executed command
supervisor_masking_terminology_ledger_v2,executed_command,executed command,The command on the factual vehicle-control path after authority arbitration.,u_exec,executed_control,core/scripts/carla/policies/supervisor_action_filter.py,an unactuated shadow command
supervisor_masking_terminology_ledger_v2,supervisor_authority,supervisor authority,"The complete seven-channel behavioural bundle controlling reference shaping, linearisation/cost changes, bypass, post-solver replacement and recovery state.","A in {on,off}",cross_layer_intervention,docs/paper/generated/distinction_sf4_supervisor_authority_ablation/results/sf4_supervisor_behavioural_authority_run_contract.json,one isolated safety-filter rule
supervisor_masking_terminology_ledger_v2,attenuation,attenuation,A quantified reduction in an aligned policy contrast between two adjacent measurement layers.,rho=d_after/(d_before+epsilon),aligned_cross_layer_estimand,docs/paper/generated/supervisor_bottleneck_v1/telemetry_audit/attenuation_claim_audit.json,causal supervisor masking without an identifying contrast
supervisor_masking_terminology_ledger_v2,compression,compression,A descriptive contraction of policy separation downstream; by itself it does not identify which component caused the contraction.,d_downstream<d_upstream,descriptive_cross_layer,docs/paper/generated/supervisor_bottleneck_v1/telemetry_audit/attenuation_claim_audit.json,causally identified masking
supervisor_masking_terminology_ledger_v2,not_transferred,not transferred,An upstream difference whose declared downstream outcome contrast is not detected at the available precision and population.,Delta_upstream!=0; Delta_outcome not detected,cross_population_verdict,docs/paper/generated/supervisor_bottleneck_v1/scientific_contract/claim_evidence_boundary.json,proof of equivalence or uselessness
supervisor_masking_terminology_ledger_v2,masking,masking,"A causal supervisor effect that reduces an upstream-policy distinction, licensed only by aligned same-state mappings or a non-saturated policy-by-authority interaction.",Delta_policy x authority,identified_intervention_effect,docs/paper/generated/supervisor_bottleneck_v1/telemetry_audit/attenuation_claim_audit.json,similar final trajectories under shared supervision
